CATCHER_ID,Year,Opportunities,Actual_Called_Strikes,Called_Strikes_Added,Called_Strikes_Added_Per_100
13,2021,840,259,7.583,0.903
13,2022,1043,349,31.333,3.004
13,2023,1146,397,37.989,3.315
41,2021,756,248,9.577,1.267
41,2022,1447,497,44.902,3.103
41,2023,933,302,16.288,1.746
137,2021,105,28,-3.01,-2.867
137,2022,253,81,0.109,0.043
137,2023,59,21,-0.254,-0.431
141,2022,203,61,-3.858,-1.9
141,2023,1060,325,-9.333,-0.88
151,2021,705,237,17.743,2.517
151,2022,1390,479,45.675,3.286
151,2023,648,180,-20.601,-3.179
153,2021,835,254,-8.239,-0.987
153,2022,800,278,21.606,2.701
153,2023,984,315,11.823,1.202
160,2021,157,48,-2.932,-1.868
166,2021,583,198,9.069,1.556
166,2022,1463,431,-23.331,-1.595
166,2023,1670,564,44.569,2.669
185,2021,36,16,3.737,10.381
195,2021,1246,397,-2.899,-0.233
195,2022,1274,413,21.628,1.698
195,2023,1057,368,32.904,3.113
211,2021,1012,322,8.385,0.829
211,2022,654,195,-11.478,-1.755
211,2023,1203,360,-29.839,-2.48
217,2021,1506,499,18.454,1.225
217,2022,1701,535,-3.767,-0.221
217,2023,1534,486,9.36,0.61
270,2021,36,7,-5.2,-14.444
277,2022,15,4,-1.011,-6.74
277,2023,841,251,-17.575,-2.09
279,2021,40,12,-1.471,-3.678
294,2021,1248,379,-14.302,-1.146
294,2022,1266,436,37.771,2.983
294,2023,620,188,-3.682,-0.594
309,2021,1380,443,0.974,0.071
309,2022,1486,469,-7.781,-0.524
309,2023,1757,508,-67.127,-3.821
316,2022,16,4,-1.225,-7.656
316,2023,1654,488,-15.554,-0.94
326,2021,706,235,15.183,2.151
326,2022,402,137,6.963,1.732
326,2023,179,58,3.06,1.709
344,2021,373,108,-9.119,-2.445
344,2022,926,282,-12.078,-1.304
348,2021,1926,603,-23.083,-1.198
348,2022,1151,335,-39.597,-3.44
348,2023,1325,400,-9.37,-0.707
357,2021,38,13,-1.577,-4.15
373,2021,1852,591,-13.14,-0.71
373,2022,1553,503,6.183,0.398
373,2023,1730,486,-57.411,-3.319
413,2021,2,1,0.353,17.65
473,2021,883,281,5.924,0.671
473,2022,228,68,-3.599,-1.579
477,2023,228,71,0.274,0.12
516,2021,643,219,20.51,3.19
516,2022,1240,412,24.063,1.941
516,2023,318,111,10.012,3.148
526,2021,1100,337,-7.497,-0.682
526,2022,1588,470,-31.29,-1.97
526,2023,1751,590,39.007,2.228
528,2021,142,41,-1.032,-0.727
528,2022,105,31,-0.612,-0.583
554,2021,551,191,7.424,1.347
554,2022,317,104,0.538,0.17
555,2021,1412,427,-5.231,-0.37
555,2022,792,275,29.103,3.675
555,2023,844,275,15.467,1.833
564,2021,52,15,-2.577,-4.956
588,2021,1505,428,-45.286,-3.009
588,2022,1197,384,10.908,0.911
588,2023,974,304,1.069,0.11
589,2023,745,227,-12.915,-1.734
610,2022,394,115,-16.221,-4.117
610,2023,52,13,-3.831,-7.367
617,2021,1,0,-0.571,-57.1
618,2021,18,5,-0.129,-0.717
627,2021,396,119,-5.92,-1.495
665,2021,1672,562,32.802,1.962
665,2022,1095,349,8.997,0.822
665,2023,1360,440,10.286,0.756
671,2021,114,38,1.092,0.958
671,2022,514,158,-6.501,-1.265
671,2023,480,155,6.728,1.402
672,2021,80,26,1.135,1.419
672,2022,426,143,5.235,1.229
680,2023,148,45,-2.424,-1.638
706,2021,1064,319,-21.191,-1.992
706,2022,180,49,-8.401,-4.667
712,2021,285,81,-3.624,-1.272
712,2022,47,19,3.121,6.64
722,2022,98,32,-0.207,-0.211
722,2023,383,124,3.957,1.033
752,2021,1370,430,-1.485,-0.108
752,2022,1250,427,41.745,3.34
752,2023,902,290,17.651,1.957
755,2021,1125,342,-2.607,-0.232
755,2022,913,285,4.826,0.529
755,2023,1293,368,-32.686,-2.528
779,2021,3,2,1.449,48.3
794,2021,122,41,-1.106,-0.907
831,2021,489,139,-12.996,-2.658
876,2021,1041,337,0.334,0.032
876,2022,640,193,-11.09,-1.733
905,2022,69,23,-0.896,-1.299
905,2023,814,227,-33.878,-4.162
919,2021,400,124,-4.288,-1.072
931,2021,393,139,12.35,3.142
931,2022,577,184,-4.203,-0.728
953,2022,109,38,5.135,4.711
953,2023,159,57,8.054,5.065
985,2021,850,270,2.714,0.319
985,2022,870,302,30.609,3.518
985,2023,80,24,-3.469,-4.336
986,2022,295,87,-6.803,-2.306
986,2023,39,9,-2.085,-5.346
1006,2021,2,1,0.757,37.85
1011,2021,1616,497,5.297,0.328
1011,2022,1913,658,70.08,3.663
1011,2023,1994,649,37.546,1.883
1017,2021,1200,391,12.383,1.032
1017,2022,155,51,1.622,1.046
1017,2023,496,151,-3.93,-0.792
1029,2023,504,165,-0.749,-0.149
1038,2021,1604,562,59.373,3.702
1038,2022,1521,511,32.209,2.118
1038,2023,1523,495,12.814,0.841
1047,2022,275,84,-0.912,-0.332
1047,2023,1465,456,-4.433,-0.303
1075,2023,394,116,-6.509,-1.652
1078,2021,1437,466,16.862,1.173
1109,2021,741,226,0.926,0.125
1109,2022,217,75,6.776,3.123
1109,2023,370,113,4.383,1.185
1113,2021,121,42,3.613,2.986
1113,2022,834,260,-11.289,-1.354
1113,2023,911,292,1.481,0.163
1115,2021,324,86,-19.145,-5.909
1115,2022,1641,521,-1.54,-0.094
1115,2023,1906,597,1.121,0.059
1134,2023,80,24,-3.241,-4.051
1142,2022,221,64,-5.019,-2.271
1142,2023,1873,548,-48.087,-2.567
1149,2021,414,124,-4.909,-1.186
1149,2022,41,11,-2.667,-6.505
1167,2021,550,159,-18.938,-3.443
1167,2023,1394,489,67.961,4.875
1183,2021,686,233,16.73,2.439
1183,2022,757,260,24.722,3.266
1183,2023,733,243,16.038,2.188
1248,2021,1573,455,-40.993,-2.606
1248,2022,1274,413,27.342,2.146
1248,2023,635,169,-32.71,-5.151
1253,2023,4,2,0.577,14.425
1262,2021,233,93,18.372,7.885
1262,2022,140,45,-3.073,-2.195
1262,2023,735,223,-2.009,-0.273
1268,2022,625,197,5.778,0.924
1268,2023,1265,420,26.76,2.115
1274,2021,264,72,-16.607,-6.291
1274,2022,628,209,13.199,2.102
1313,2021,83,21,-6.132,-7.388
1314,2023,178,53,-1.802,-1.012
1326,2021,23,7,-1.628,-7.078
1326,2022,52,13,-4.227,-8.129
1332,2021,416,131,0.253,0.061
1332,2022,792,257,9.853,1.244
1332,2023,887,271,0.858,0.097
1333,2021,190,61,4.844,2.549
1363,2021,888,252,-32.928,-3.708
1363,2022,591,176,-14.87,-2.516
1363,2023,28,7,-2.2,-7.857
1370,2021,84,23,-3.12,-3.714
1379,2021,9,4,0.537,5.967
1379,2022,1209,400,17.026,1.408
1379,2023,406,133,7.244,1.784
1386,2021,654,192,-17.331,-2.65
1386,2022,666,241,29.755,4.468
1386,2023,699,234,7.732,1.106
1415,2021,8,1,-1.73,-21.625
1448,2022,607,193,-3.61,-0.595
1448,2023,589,166,-12.056,-2.047
1450,2021,1253,403,9.492,0.758
1450,2022,1436,463,25.16,1.752
1450,2023,760,227,-10.586,-1.393
1452,2022,201,54,-10.384,-5.166
1487,2021,465,163,18.804,4.044
1487,2023,315,107,13.5,4.286
1501,2021,14,3,-1.241,-8.864
1507,2021,487,142,-11.2,-2.3
1507,2022,489,141,-15.508,-3.171
1507,2023,27,4,-4.261,-15.781
1547,2022,63,24,4.085,6.484
1561,2021,287,89,-2.911,-1.014
1562,2021,303,105,6.929,2.287
1569,2022,3,0,-0.872,-29.067
1584,2021,430,126,-1.096,-0.255
1584,2022,287,83,-2.05,-0.714
1584,2023,10,3,-0.11,-1.1
1599,2021,654,188,-19.38,-2.963
1599,2022,876,252,-19.571,-2.234
1599,2023,1580,526,41.249,2.611
1614,2023,505,176,20.534,4.066
1627,2021,43,12,-2.436,-5.665
1627,2022,245,68,-7.135,-2.912
1627,2023,1554,514,14.328,0.922
1630,2023,44,11,-1.971,-4.48
1638,2021,1405,473,38.767,2.759
1638,2022,470,162,11.678,2.485
1638,2023,599,190,3.061,0.511
1673,2021,1111,342,-9.208,-0.829
1673,2022,776,282,36.236,4.67
1673,2023,1005,321,4.563,0.454
1762,2022,81,27,2.522,3.114
1762,2023,215,62,-7.935,-3.691
1788,2021,547,184,9.267,1.694
1788,2022,203,56,-10.067,-4.959
1788,2023,682,200,-13.187,-1.934
1790,2021,551,166,-9.626,-1.747
1790,2022,991,332,23.61,2.382
1790,2023,1320,413,3.016,0.228
1793,2022,70,18,-2.25,-3.214
1793,2023,11,4,0.552,5.018
1799,2022,1216,390,2.045,0.168
1799,2023,1569,488,5.126,0.327
1808,2021,575,167,-17.598,-3.061
